Role;Fichier;Objet;Taille (o);Modifie;SHA-256 (16)
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Agent-Contracts.txt;Note d'architecture;585;2026-08-29;b875ea87d451437e
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Agent-Trace-Schema.txt;Note d'architecture;368;2026-08-29;60dfa91be8c51587
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Agent-loops.txt;Note d'architecture;1260;2026-08-29;d34e49715af5ea16
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Architecture_documentaire.md;;1211;2026-08-29;dbafe79f6b13d520
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Bayesian-routing-evolution-future.txt;Note d'architecture;618;2026-08-29;24d3d9a50abec226
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Cache-policy-avancée.txt;Note d'architecture;425;2026-08-29;206024bed62b61e8
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Confidence-uncertainty.txt;Note d'architecture;279;2026-08-29;ff0c0a41673128cc
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Conformance-Tests.txt;Note d'architecture;512;2026-08-29;4a02efab17780b0b
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Context-cache.txt;Note d'architecture;159;2026-08-29;c93d7fdfcd0b9416
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Cost-budget.txt;Note d'architecture;345;2026-08-29;54fd737f827ea6ea
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Drift-detection.txt;Note d'architecture;342;2026-08-29;1f7ae47c7210cfab
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Escalation-policy.txt;Note d'architecture;191;2026-08-29;87dcc4310f8ece9e
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Event-log.txt;Note d'architecture;548;2026-08-29;68646bac4773800d
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Final-target-architecture.txt;Note d'architecture;6060;2026-08-29;1446371c35602e75
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Latency-budget.txt;Note d'architecture;182;2026-08-29;ff1be5b25771226a
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/MCP-external-tool-layer.txt;Note d'architecture;483;2026-08-29;59b701e6199307e2
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/MCP-ne-doit-pas-bypasser-la-policy.txt;Note d'architecture;233;2026-08-29;e38a1c1a96579b45
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Mission-P0.txt;Note d'architecture;20999;2026-08-29;8d10f595e46e354e
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Model-lifecycle-automation.txt;Note d'architecture;221;2026-08-29;b72cc394c5e1eef5
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Multi-agent-orchestration.txt;Note d'architecture;943;2026-08-29;187f0bc261b6d7b9
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Policy-as-code.txt;Note d'architecture;309;2026-08-29;cc77a6e330d719a1
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Prompt-registry.txt;Note d'architecture;311;2026-08-29;a9ded1ba472626e0
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/README.md;;5935;2026-08-29;a40c5bd466a8691f
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Reproductible-execution.txt;Note d'architecture;327;2026-08-29;2cfbe21e85bfd8a7
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Router-versioning.txt;Note d'architecture;279;2026-08-29;22ebe5fbf5a64f9c
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Routing-unit-tests.txt;Note d'architecture;476;2026-08-29;8eaf35ef024778b9
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/SKILLS.txt;Note d'architecture;2169;2026-08-29;58e8945d605c42e7
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Scientific-quantitative-evaluation-layer.txt;Note d'architecture;360;2026-08-29;421a4a5360279315
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Secrets-Gateway.txt;Note d'architecture;378;2026-08-29;d982298b4ec244e7
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Self-critique-contrôlée.txt;Note d'architecture;430;2026-08-29;1b39c21a48488342
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/Verification-Agent.txt;Note d'architecture;426;2026-08-29;59aacf9aaa00a011
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/agent-planner.txt;Note d'architecture;611;2026-08-29;bd0b24926219de2f
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/budget-aware-execution.txt;Note d'architecture;159;2026-08-29;18584c952b55daf3
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/execution-policy.yaml.txt;Note d'architecture;600;2026-08-29;82c0e986d0d0ece7
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/execution-profiles.txt;Note d'architecture;925;2026-08-29;a21349561f810a99
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/missions/INGEST-001-platform-integration.md;;10426;2026-08-29;d88ef12b405cbc01
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/model-registry.yaml;;1833;2026-08-29;7a10ad2d1364a1f2
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/policies/execution-policy.yaml;;0;2026-08-29;e3b0c44298fc1c14
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/provider-registry.txt;Note d'architecture;757;2026-08-29;ffe40ce4ae1ea45a
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/architecture/tool-registry.txt;Note d'architecture;421;2026-08-29;90ac2dd86d2ec601
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/pont-local-abonnement.md;;15487;2026-08-29;55063ec33846b031
Architecture;.claude/worktrees/agent-a653df9057bc132d9/docs/set-claude-model.md;;2947;2026-08-29;43c15596721de2c3
Architecture;.claude/worktrees/agent-a653df9057bc132d9/litellm_config.yaml;;36271;2026-08-29;6824305bbff60f2f
Architecture;.claude/worktrees/agent-a653df9057bc132d9/model_list.txt;Note d'architecture;545;2026-08-29;940659862db4f87c
Architecture;.claude/worktrees/agent-a653df9057bc132d9/rituels/BOUSSOLE.csv;;7641;2026-08-29;1659e5e93800fb29
Architecture;.claude/worktrees/agent-a653df9057bc132d9/rituels/BOUSSOLE.md;;9983;2026-08-29;639e85609993bfa0
Architecture;.claude/worktrees/agent-a653df9057bc132d9/rituels/CHECKLIST_COCKPIT.MD;;13922;2026-08-29;8366a41b25f80861
Architecture;.claude/worktrees/agent-a653df9057bc132d9/rituels/PROGRESS.md;;7341;2026-08-29;62fdc016bd80f901
Architecture;.claude/worktrees/agent-a653df9057bc132d9/rituels/README.md;;421;2026-08-29;614056d5f2a7977d
Architecture;.claude/worktrees/agent-a653df9057bc132d9/rituels/RESUME.ps1;;2848;2026-08-29;7714dfe8b4c7c548
Architecture;.claude/worktrees/agent-a653df9057bc132d9/rituels/STATE.md;;2709;2026-08-29;b04694d22c5dac8a
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/Initialize-Nexus.ps1;;7360;2026-08-29;2ad5c08de5db3923
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/Register-NexusAutoUpdate.ps1;;4846;2026-08-29;de88739da6a7970a
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/Test-NexusConfig.ps1;;1152;2026-08-29;ffb1d223bd5b23d5
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/Test-NexusSmoke.ps1;;5493;2026-08-29;8d78c4db6071a802
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/Update-NexusModels.ps1;;7331;2026-08-29;4bc2d37e81a479fa
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/backup.ps1;;3470;2026-08-29;3e5897a314ee325e
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_boussole.py;;8068;2026-08-29;20b7f3ea523995e3
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_capability.py;;13933;2026-08-29;e469bf90814f06d1
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_generate.py;;31237;2026-08-29;fa0302760b7d2370
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_mcp_probe.py;;4168;2026-08-29;848a574aea6a4f49
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_migration_plan.py;;8505;2026-08-29;99fb781c2e2f8e4b
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_preserve.py;;14581;2026-08-29;fdc484a0d862a348
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_savings.py;;10194;2026-08-29;f26e15f4000f218a
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_state.py;;7979;2026-08-29;eff262d1bdcab333
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_switch_engine.py;;7030;2026-08-29;5d3aeb489c54f9a5
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_test.py;;45666;2026-08-29;34d63912c310a1cb
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/nexus_validate.py;;12839;2026-08-29;ab15e88b93f1a5a2
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/restore.ps1;;2180;2026-08-29;ad1c750a63ffa82d
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/start.ps1;;1871;2026-08-29;3d9c527bc12bae4a
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/stop.ps1;;909;2026-08-29;9e79210f41911f95
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/update_cloud_models.ps1;;6185;2026-08-29;41078ab50423d589
Architecture;.claude/worktrees/agent-a653df9057bc132d9/scripts/update_local_models.ps1;;4381;2026-08-29;ee795cabf6f53ae6
Architecture;.claude/worktrees/agent-a653df9057bc132d9/tools/nexus-mcp/server.js;;52499;2026-08-29;d23d0d108370bad2
Architecture;.gitattributes;;1046;2026-08-29;b6b90b72d26b36e7
Architecture;.github/workflows/verification.yml;;3700;2026-08-29;db4a9bf85a4f0b60
Architecture;.gitignore;;268;2026-08-29;923e51415fe6fed7
Architecture;LICENSE;;34523;2026-08-29;0d96a4ff68ad6d4b
Architecture;Start-Claude.ps1;;5719;2026-08-29;48d9c212d56e26a2
Architecture;docker-compose.gpu.yml;;941;2026-08-29;d8cb0679e22c2e51
Architecture;docs/architecture/Agent-Contracts.txt;Note d'architecture;617;2026-08-28;44a7e50923e522fd
Architecture;docs/architecture/Agent-Trace-Schema.txt;Note d'architecture;395;2026-08-28;cd92e5a2c6047458
Architecture;docs/architecture/Agent-loops.txt;Note d'architecture;1307;2026-08-28;a626486bce89938f
Architecture;docs/architecture/Architecture_documentaire.md;;1258;2026-08-28;bf30d80a4d8a67e9
Architecture;docs/architecture/Bayesian-routing-evolution-future.txt;Note d'architecture;665;2026-08-28;6e04cd1f0483c864
Architecture;docs/architecture/Cache-policy-avancée.txt;Note d'architecture;446;2026-08-28;cbedaf12ff4b3053
Architecture;docs/architecture/Confidence-uncertainty.txt;Note d'architecture;294;2026-08-28;ad8d08631fdbd807
Architecture;docs/architecture/Conformance-Tests.txt;Note d'architecture;529;2026-08-28;2573719ab4ee8fcb
Architecture;docs/architecture/Context-cache.txt;Note d'architecture;169;2026-08-28;5c56aa801824dbc6
Architecture;docs/architecture/Cost-budget.txt;Note d'architecture;356;2026-08-28;58aa3bfae529b102
Architecture;docs/architecture/Drift-detection.txt;Note d'architecture;369;2026-08-28;f6a370279e81393e
Architecture;docs/architecture/Escalation-policy.txt;Note d'architecture;212;2026-08-28;806f7173fbb9112e
Architecture;docs/architecture/Event-log.txt;Note d'architecture;578;2026-08-28;2aadcf3964497d83
Architecture;docs/architecture/Final-target-architecture.txt;Note d'architecture;6202;2026-08-28;eb6ec36a7a8d4ee2
Architecture;docs/architecture/Latency-budget.txt;Note d'architecture;190;2026-08-28;f75fafbdd76ecb0e
Architecture;docs/architecture/MCP-external-tool-layer.txt;Note d'architecture;515;2026-08-28;5f7219a3f58eaf9b
Architecture;docs/architecture/MCP-ne-doit-pas-bypasser-la-policy.txt;Note d'architecture;249;2026-08-28;18b5c3df75d9a7d7
Architecture;docs/architecture/Mission-P0.txt;Note d'architecture;22154;2026-08-28;391c0394b7712238
Architecture;docs/architecture/Model-lifecycle-automation.txt;Note d'architecture;243;2026-08-28;96caae627bda0116
Architecture;docs/architecture/Multi-agent-orchestration.txt;Note d'architecture;974;2026-08-28;c75d80063f115ce4
Architecture;docs/architecture/Policy-as-code.txt;Note d'architecture;329;2026-08-28;e1bfd525e738057c
Architecture;docs/architecture/Prompt-registry.txt;Note d'architecture;329;2026-08-28;306b5c96dcf1b63f
Architecture;docs/architecture/README.md;;6317;2026-08-29;ccb68aed4113a6b4
Architecture;docs/architecture/Reproductible-execution.txt;Note d'architecture;349;2026-08-28;83527ed316590ac0
Architecture;docs/architecture/Router-versioning.txt;Note d'architecture;294;2026-08-28;47a980e9d0ca5f9f
Architecture;docs/architecture/Routing-unit-tests.txt;Note d'architecture;512;2026-08-28;f0af939d3d90d215
Architecture;docs/architecture/SKILLS.txt;Note d'architecture;2169;2026-08-29;58e8945d605c42e7
Architecture;docs/architecture/Scientific-quantitative-evaluation-layer.txt;Note d'architecture;372;2026-08-28;db4adee680ca3f04
Architecture;docs/architecture/Secrets-Gateway.txt;Note d'architecture;396;2026-08-28;49ae4c63ae8930f3
Architecture;docs/architecture/Self-critique-contrôlée.txt;Note d'architecture;455;2026-08-28;6f791cd036ba0a11
Architecture;docs/architecture/Verification-Agent.txt;Note d'architecture;457;2026-08-28;1f2b1e54a026bc7c
Architecture;docs/architecture/agent-planner.txt;Note d'architecture;660;2026-08-28;2f71f4d304a9ef18
Architecture;docs/architecture/budget-aware-execution.txt;Note d'architecture;174;2026-08-28;96ba3ba260f488c9
Architecture;docs/architecture/execution-policy.yaml.txt;Note d'architecture;648;2026-08-28;12b546689ff532ee
Architecture;docs/architecture/execution-profiles.txt;Note d'architecture;1000;2026-08-28;80920407dbb14313
Architecture;docs/architecture/missions/INGEST-001-platform-integration.md;;11150;2026-08-28;c3ee98341a74c6c2
Architecture;docs/architecture/model-registry.yaml;;1970;2026-08-28;6db49ebeea993873
Architecture;docs/architecture/provider-registry.txt;Note d'architecture;820;2026-08-28;3e34f998a514ce88
Architecture;docs/architecture/tool-registry.txt;Note d'architecture;451;2026-08-28;54767d583d48cf93
Architecture;docs/set-claude-model.md;;2947;2026-08-29;43c15596721de2c3
Architecture;hote_tmp.txt;Note d'architecture;314;2026-08-29;612734c74526aada
Architecture;litellm_config.yaml.avant-bascule;;32940;2026-08-29;10e7f4da06daf574
Architecture;model_list.host.txt;Note d'architecture;246;2026-08-29;7027cc533c390fa7
Architecture;requirements.txt;Note d'architecture;12;2026-08-29;71749243f84428fe
Architecture;rituels/BOUSSOLE.csv;;20202;2026-08-29;2a80563430f30df9
Architecture;rituels/EVALUATION-LOCALE.md;;12079;2026-08-29;f16830fca4479937
Architecture;rituels/README.md;;1756;2026-08-29;dac6503c1883887f
Architecture;rituels/RESTE-A-FAIRE.md;;21725;2026-08-29;0f83d7dec3ff8486
Architecture;scripts/Compact-NexusDisk.ps1;;5251;2026-08-29;2396dc9bf8537047
Architecture;scripts/Initialize-Nexus.ps1;;7360;2026-08-29;2ad5c08de5db3923
Architecture;scripts/nexus_agent.py;;16691;2026-08-29;b27d0643fb758b14
Architecture;scripts/nexus_conformite.py;;12198;2026-08-29;46b5360179542b6a
Architecture;scripts/nexus_preserve.py;;15487;2026-08-29;019110c8da4cb6d7
Architecture;scripts/nexus_pull_host.py;;13624;2026-08-29;9a628acf47d5ac14
Architecture;scripts/nexus_releve.py;;17483;2026-08-29;3435420ce32cdbce
Architecture;scripts/nexus_savings.py;;11879;2026-08-29;5521e74cf7867b5f
Architecture;scripts/nexus_worktree.py;;19532;2026-08-29;41f5afa8444857b7
Obsolète;scripts/update_cloud_models.ps1;Remplacé — neutralisé par garde-fou;6185;2026-08-29;41078ab50423d589
Obsolète;scripts/update_local_models.ps1;Remplacé — neutralisé par garde-fou;4381;2026-08-29;ee795cabf6f53ae6
